english,arabic,district
Tripoli Al-Kobbé,القبة,Tripoli
Tripoli Al-Souéka,السويقه,Tripoli
Tripoli Al-Zehrieh,الزاهرية,Tripoli
Bazouriat,البازوريه,Sour
Miemié,المية ومية,Saida
Lebaa,لبعه,Jezzine
Azka,عزقي,Minieh-Danieh
Naamat,الناعمه,Chouf
Kaoutarite El-Siyad,كوثرية السياد,Saida
Zahlé Maallaka Kerek,زحلة المعلقه,Zahleh
Djounié Salel Alma,ساحل علما,Kasrouane
Nammoura et Kfar Jerif,النموره وكفر جريف,Kasrouane
El-Abri et Chouan,شوان والعبره,Kasrouane
Wadi-el-Arayeche,زحلة وادي العرايش,Zahleh
El-Houaïche,الحويش,Akkar
Arbet Koshaya,عربة قزحيا,Zgharta
El-Kalaa,القلعه,Baabda
El-Hajjé,الحجة,Saida
Hmairé,الحميري,Sour
Debbiyeh,الدبية,Chouf
El-Mhammariyé,المعمرية,Saida
Bteezanieh,التعزانية,Aley
Aïn-El-Ghouaibé,عين الغويبة,Jubail
Al-Saïdat,السعيده,Baalbeck
Kfar Dabache,كفردبش,Baalbeck
Dar El-Ouassia,دار الواسعة,Baalbeck
Sarhita,سرعيتا,Jubail
El-Mouncef,المنصف,Jubail
