English Name,English District,Best Arabic Match,Match Score,Cand1,Cand1_Lat,Cand1_Score,Cand2,Cand2_Lat,Cand2_Score,Cand3,Cand3_Lat,Cand3_Score
Al-Amara,Akkar,العماير,54.54545454545455,العماير,Al عمر,54.54545454545455,عماره,Al عمر,54.54545454545455,مراح الخوخ,Al أمرا,53.333333333333336
Al-Hissa,Akkar,بيت الحاج,46.15384615384615,بيت الحاج,Al حسا,46.15384615384615,الحويش,Al حيث,40.0,الحيصه,Al حصة,40.0
Al-Jédidé,Akkar,جديدة القيطع,55.55555555555556,جديدة القيطع,Al جديدي,55.55555555555556,خريبة الجندي,Al جديدي,44.44444444444444,الفرض,,40.0
Al-Khraibé (Kousha),Akkar,خريبة الجندي,38.46153846153846,خريبة الجندي,Al خريب (Kousha),38.46153846153846,خربة الجرد,Al خريب (Kousha),33.33333333333333,القبيات الغربية,Al خريبي (Kousha),28.57142857142857
Al-Kleiat,Akkar,قليعات,61.53846153846154,قليعات,Al قليت,61.53846153846154,القبيات الذوق,Al قليت,50.0,القبيات الضهر,Al قليت,50.0
Al-Massoudié,Akkar,المسعوديه,75.0,المسعوديه,Al مسعودي,75.0,عبودية,Al مسعودي,53.333333333333336,تل معيان,Al مسعودي,47.05882352941177
Al-Moukaiteh,Akkar,المسعوديه,50.0,المسعوديه,Al موكيته,50.0,القبيات الذوق,Al مقيته,47.05882352941177,القبيات الضهر,Al مقيته,47.05882352941177
Al-Mouzeihmé,Akkar,المسعوديه,47.05882352941177,المسعوديه,Al موذيهمه,47.05882352941177,غزيله,Al مزيهمه,42.857142857142854,تل معيان,Al مزيحم,37.5
Al-Roumoul,Akkar,القبيات مرتموره,40.0,القبيات مرتموره,Al رمول,40.0,خط البترول,Al رمول,40.0,كرم زبدين,Al رمل,40.0
Al-Semmakli,Akkar,المقيطع,46.15384615384615,المقيطع,Al صمقلي,46.15384615384615,العماير,Al صماكلي,42.857142857142854,قليعات,Al صمقلي,42.857142857142854
Al-Zoureiribe,Akkar,الزواريب,53.333333333333336,الزواريب,Al ظوريرب,53.333333333333336,خريبة الجندي,Al ظريرب,44.44444444444444,القبيات الغربية,Al ظريربي,40.0
Al Moghrak,Akkar,مراح الخوخ,50.0,مراح الخوخ,Al مغراك,50.0,جبل المنصورة,Al موغرك,44.44444444444444,القبيات مرتموره,Al موغرك,38.095238095238095
Barcha,Akkar,القرنة,54.54545454545455,القرنة,بارشة,54.54545454545455,الهيشة,بارشة,54.54545454545455,كوشا,برشا,50.0
Cheir Homeirine,Akkar,العماير,53.333333333333336,العماير,شاير حميرن,53.333333333333336,زوق الحصينه,شير حميرنه,52.63157894736842,الريحانيه,شير حميرين,47.05882352941177
Dahr el-Kneissé,Akkar,ضهر القنبر,63.1578947368421,ضهر القنبر,ضهر el قنيص,63.1578947368421,القبيات الضهر,ضهر el قنيص,60.0,الكنيسة,ضاهر el كنيس,52.63157894736842
Dahr Haddara,Akkar,ضهر القنبر,66.66666666666666,ضهر القنبر,ضهر حضر,66.66666666666666,القبيات الضهر,ضهر حضر,60.0,النهرية وبستان الحرش,دحر هدرا,50.0
Danbou,Akkar,ضهر القنبر,54.54545454545455,ضهر القنبر,ضنب,54.54545454545455,الدوسه,دنبو,50.0,البساتين,دانب,40.0
Daoucé et Baghdadi,Akkar,القبيات غوايا,53.84615384615385,القبيات غوايا,دوكي ايت بغدد,53.84615384615385,جديدة القيطع,دوك اط بجهدد,50.0,زوق الحصينه,دوق اية بجهدد,50.0
Dayret Nahr El-Kébir,Akkar,ضهر القنبر,53.84615384615385,ضهر القنبر,دايرة نهر El قبر,53.84615384615385,القبيات الغربية,دايرة ناهر El قبر,46.666666666666664,القبيات القطلبه,ديرت نهر El قبر,46.15384615384615
Denké et El-Amriyeh,Akkar,الريحانيه,46.15384615384615,الريحانيه,دنكي اية El امريه,46.15384615384615,القبيات الغربية,ضنك ايت El امريه,45.16129032258065,القبيات مرتموره,ضنك ايت El عمريه,45.16129032258065
El-Armeh,Akkar,عماره,61.53846153846154,عماره,El عارمه,61.53846153846154,الريحانيه,El ارماه,47.05882352941177,العماير,El عارمه,46.15384615384615
El-Bardé,Akkar,عبودية,46.15384615384615,عبودية,El بردي,46.15384615384615,عماره,El بارده,46.15384615384615,الدوسه,El بارده,42.857142857142854
El-Ghozaili,Akkar,غزيله,66.66666666666666,غزيله,El غزيل,66.66666666666666,الزواريب,El غزايل,42.857142857142854,القبيات غوايا,El غزايل,38.095238095238095
El-Kantara,Akkar,القنطره,61.53846153846154,القنطره,El قنطرة,61.53846153846154,القرنة,El قنطرة,50.0,ضهر القنبر,El قنطرة,50.0
El-Kneissé,Akkar,الكنيسة,66.66666666666666,الكنيسة,El كنيس,66.66666666666666,النفيسه,El كنيسه,61.53846153846154,قنية,El قنيص,54.54545454545455
El-Korné,Akkar,القرنة,60.0,القرنة,El قرن,60.0,الكنيسة,El كرني,50.0,الكواشره,El كورن,46.15384615384615
El-Kouachra,Akkar,الكواشره,61.53846153846154,الكواشره,El كوشر,61.53846153846154,كوشا,El كوشر,54.54545454545455,الشيخ عياش,El كعاشر,50.0
El-Msallé,Akkar,عماره,46.15384615384615,عماره,El مساله,46.15384615384615,الحيصه,El مساله,42.857142857142854,الدوسه,El مساله,42.857142857142854
El-Nfeicé,Akkar,النفيسه,61.53846153846154,النفيسه,El نفيكه,61.53846153846154,سفينة القيطع,El نفيقي,44.44444444444444,الريحانيه,El نفيكه,40.0
Fseikine et Aïn Achma,Akkar,عين الذهب,60.0,عين الذهب,فسيكن ات عين أشم,60.0,تل معيان,فسيكن ات عن عشم,52.17391304347826,سفينة القيطع,فسيكن اط أن عشم,51.851851851851855
Janine,Akkar,النفيسه,60.0,النفيسه,جنينه,60.0,البساتين,جانين,54.54545454545455,جرمنايا,جنين,54.54545454545455
Jedeidet-El-Kayteh,Akkar,جديدة القيطع,69.56521739130434,جديدة القيطع,جديدة El كيطه,69.56521739130434,القبيات القطلبه,جديدات El كيطه,48.0,القبيات مرتموره,جديدات El كيته,44.44444444444444
Jouret Srar,Akkar,بني صخر,53.333333333333336,بني صخر,جريت صرر,53.333333333333336,خربة الجرد,جرت صرر,53.333333333333336,بيت الحاج,جريت سرار,50.0
Kaabarine,Akkar,الكواشره,66.66666666666666,الكواشره,كابرنه,66.66666666666666,الريحانيه,كابريني,62.5,القرنة,قعبرين,60.0
